,ID,Recency,Frequency,Purchase,Enrollment,Income,Cluster
0,5524,58,44.13636363636363,1617,971,58138.0,Big Need Attention
1,2174,38,31.25,27,125,46344.0,Small Stars
2,4141,26,23.6,776,472,71613.0,Small Stars
3,6182,26,10.833333333333334,53,65,26646.0,Small Stars
4,5324,94,22.928571428571427,422,321,58293.0,Small Need Attention
5,7446,16,22.65,716,453,62513.0,Small Stars
6,965,34,44.294117647058826,590,753,55635.0,Small Stars
7,6177,32,61.0,169,488,33454.0,Small Potential
8,4855,19,109.6,46,548,30351.0,Small Potential
12,2125,82,25.733333333333334,1102,386,63033.0,Big Need Attention
13,8180,53,32.166666666666664,310,386,59354.0,Small Need Attention
15,2114,23,29.68,1315,742,82800.0,Big Stars
16,9736,51,118.66666666666667,96,712,41850.0,Sleeping
17,4939,20,75.18181818181819,317,827,37760.0,Small Potential
18,6565,91,25.75,1782,618,76995.0,Big Need Attention
20,9360,41,77.27272727272727,316,850,37040.0,Small Potential
21,5376,42,19.75,1730,553,2447.0,Big Stars
22,1993,63,50.92857142857143,972,713,58607.0,Big Need Attention
23,4047,0,2.0588235294117645,544,35,65324.0,Small Stars
24,1409,69,48.30769230769231,444,628,40689.0,Small Need Attention
25,7892,89,112.16666666666667,75,673,18589.0,Sleeping
26,2404,4,55.8,257,558,53359.0,Small Potential
28,9422,26,79.14285714285714,131,554,38360.0,Small Potential
29,1966,96,15.16,1672,379,84618.0,Big Need Attention
30,6864,34,33.0,30,198,10979.0,Small Stars
31,3033,56,39.6,318,396,38620.0,Small Need Attention
32,5710,31,112.42857142857143,120,787,40548.0,Small Potential
33,7373,8,69.81818181818181,302,768,46610.0,Small Potential
34,8755,4,38.470588235294116,1196,654,68657.0,Big Stars
35,10738,55,92.8,65,464,49389.0,Sleeping
36,4339,37,14.782608695652174,913,340,67353.0,Big Stars
37,10755,76,110.83333333333333,81,665,23718.0,Sleeping
38,8595,99,6.8,67,34,42429.0,Small Need Attention
39,2968,53,31.954545454545453,902,703,48948.0,Big Need Attention
40,8601,3,30.842105263157894,1395,586,80011.0,Big Stars
41,503,88,73.6,53,368,20559.0,Sleeping
45,1371,72,10.733333333333333,984,161,79941.0,Big Need Attention
46,9909,24,116.57142857142857,122,816,7500.0,Small Potential
49,6566,39,44.578947368421055,1319,847,72550.0,Big Stars
50,8614,29,0.0625,507,1,65486.0,Small Stars
51,4114,2,27.071428571428573,1693,758,79143.0,Big Stars
53,2225,54,7.65,1617,153,82582.0,Big Need Attention
54,9381,57,22.8125,606,365,66373.0,Small Need Attention
55,6260,55,28.73076923076923,1957,747,82384.0,Big Need Attention
56,10383,30,33.5,1093,670,70287.0,Big Stars
57,7437,31,44.4,29,222,27938.0,Small Stars
59,8375,63,17.375,518,278,55954.0,Small Need Attention
60,6853,12,30.4,1438,608,75777.0,Big Stars
61,3076,18,48.888888888888886,612,880,66653.0,Small Stars
62,1012,26,32.8,884,656,61823.0,Big Stars
63,6518,8,21.944444444444443,606,395,67680.0,Small Stars
64,4137,29,36.13333333333333,1076,542,70666.0,Big Stars
66,1386,0,10.333333333333334,11,31,32474.0,Small Stars
67,9369,19,8.451612903225806,1274,262,88194.0,Big Stars
68,4477,4,25.58823529411765,653,435,69096.0,Small Stars
69,1357,90,40.75,1562,489,74854.0,Big Need Attention
70,1402,1,42.05555555555556,1253,757,66991.0,Big Stars
72,6312,29,24.192307692307693,863,629,65031.0,Big Stars
73,8132,88,30.57894736842105,661,581,60631.0,Small Need Attention
74,1050,58,31.428571428571427,65,220,28332.0,Small Need Attention
76,1859,34,46.166666666666664,1890,831,75251.0,Big Stars
77,7503,40,33.0,2209,726,75825.0,Big Stars
79,1618,9,35.421052631578945,692,673,56046.0,Small Stars
80,3332,87,103.625,165,829,29760.0,Sleeping
82,5346,87,106.5,79,639,23559.0,Sleeping
83,4119,56,39.6,318,396,38620.0,Small Need Attention
84,535,18,10.923076923076923,778,284,81361.0,Small Stars
85,5268,95,78.6,56,393,29440.0,Sleeping
86,273,48,63.5,151,508,36138.0,Small Potential
87,4452,3,14.76923076923077,372,192,50388.0,Small Stars
88,8504,70,0.05555555555555555,1366,1,79593.0,Big Need Attention
89,771,79,35.44444444444444,194,319,54178.0,Small Need Attention
