코드값,코드명
101,게이트볼
102,골프
103,농구
104,배구
105,"럭비, 미식축구"
106,"축구, 풋살"
107,족구
108,핸드볼
109,야구
110,소프트볼
111,수구
112,"당구, 포켓볼"
113,볼링
114,"인라인 하키, 필드하키"
115,라켓볼
116,테니스
117,배드민턴
118,스쿼시
119,정구
120,탁구
121,구기및 라켓류 그외 종목
201,유도
202,검도
203,태권도
204,무도
205,격투기
206,레슬링
207,권투
208,펜싱
209,무도/ 격투기 그외 종목
301,"석궁, 양궁, 국궁"
302,씨름
303,민속 스포츠 그외 종목
401,마라톤
402,걷기
403,육상
404,보디빌딩
405,수영
406,"아쿠아 로빅, 수중발레"
407,에어로빅
408,"요가, 필라테스 ,태보"
409,댄스 스포츠
410,"자전거, 사이클, 산악 자전거"
411,줄넘기
412,체조
413,훌라후프
414,체력단련 및 생활운동 그외 종목
501,빙상
502,사격
503,서바이벌
504,"스노우 보드, 스키"
505,승마
506,암벽등반
507,인라인 스케이트
508,트라이 애스론
509,항공레저
510,래프팅
511,"수상스키 ,웨이크 보드, 윈드서핑"
512,스킨 스쿠버
513,카누
514,요트
515,레저 스포츠 그외 종목
601,등산
602,낚시
603,기타 스포츠 그외 종목
9998,없다
9999,모름/ 무응답
